perturbation_id,target_gene,mimetic_score,up_enrichment,down_enrichment
7057_RAC3_P1P2_ENSG00000169750,RAC3,0.3958172846510657,0.09090023740050707,-0.3049170472505586
8670_TAF8_P1P2_ENSG00000137413,TAF8,0.3729223032892036,0.15765822168426075,-0.2152640816049429
7798_SERHL2_P1P2_ENSG00000183569,SERHL2,0.371606330811013,0.11177175148959984,-0.2598345793214132
6643_PPM1H_P1P2_ENSG00000111110,PPM1H,0.3639736810292864,0.07365360268235491,-0.29032007834693146
10105_ZFX_P1P2_ENSG00000005889,ZFX,0.3599200465897878,0.21152043832457137,-0.14839960826521642
7960_SLC12A5_P2_ENSG00000124140,SLC12A5,0.3559065985633835,0.12886914134878613,-0.2270374572145974
881_BRAF_P1P2_ENSG00000157764,BRAF,0.3538155245967963,0.1503325757259525,-0.2034829488708438
5500_NCKAP5L_P1P2_ENSG00000167566,NCKAP5L,0.3528535119326001,0.14885277500578672,-0.2040007369268134
3436_RACK1_P1P2_ENSG00000204628,RACK1,0.3496862924911974,0.15877376376562252,-0.19091252872557488
8009_SLC25A44_P1P2_ENSG00000160785,SLC25A44,0.34865090269227456,0.16491177478699118,-0.18373912790528338
1904_CSNK2A1_P1P2_ENSG00000101266,CSNK2A1,0.34424535359154074,0.161859843899991,-0.18238550969154976
6624_PPID_P1P2_ENSG00000171497,PPID,0.34374392539662646,0.15360710911443362,-0.19013681628219287
5539_NDUFA6_P1P2_ENSG00000184983,NDUFA6,0.3414727387646203,0.21910410081870185,-0.12236863794591844
5202_MRPL19_P1P2_ENSG00000115364,MRPL19,0.33700531869442113,0.14718072667068824,-0.1898245920237329
1363_CD33_P1P2_ENSG00000105383,CD33,0.33519422389868636,0.14245295308778097,-0.1927412708109054
3112_FLOT1_P1P2_ENSG00000137312,FLOT1,0.33430930627700395,0.15861819497196672,-0.1756911113050372
1329_CCNH_P1P2_ENSG00000134480,CCNH,0.3320488062539254,0.13729262237129453,-0.19475618388263086
5421_EEF1AKMT1_P1P2_ENSG00000150456,EEF1AKMT1,0.33088415098390217,0.12927260838274715,-0.20161154260115502
1943_CTR9_P1P2_ENSG00000198730,CTR9,0.3303437692643959,0.13215505781973014,-0.1981887114446658
1892_CSDE1_P1P2_ENSG00000009307,CSDE1,0.3289482375486259,0.14021933935118777,-0.18872889819743813
8280_SOX12_P1P2_ENSG00000177732,SOX12,0.32734410783436385,0.1122118973448279,-0.21513221048953599
4010_ICAM2_P1P2_ENSG00000108622,ICAM2,0.32618734250669323,0.13634529695299236,-0.1898420455537009
6092_PAX5_P1P2_ENSG00000196092,PAX5,0.32568305058132263,0.12819248033572242,-0.19749057024560018
2369_DR1_P1P2_ENSG00000117505,DR1,0.32555663326313916,0.11064356153883673,-0.21491307172430243
6772_THAP12_P1P2_ENSG00000137492,THAP12,0.3246836468828691,0.1309901890476998,-0.19369345783516928
8538_STRAP_P1P2_ENSG00000023734,STRAP,0.32416976730809227,0.07086474747896265,-0.2533050198291296
2205_DHX29_P1P2_ENSG00000067248,DHX29,0.32319229316163073,0.1350122115179067,-0.18818008164372402
255_ALDH1A2_P1P2_ENSG00000128918,ALDH1A2,0.3217369062473427,0.11839164633520853,-0.20334525991213417
291_AMFR_P1P2_ENSG00000159461,AMFR,0.321520062729895,0.15234105738717604,-0.1691790053427189
6821_PRRC2C_P1P2_ENSG00000117523,PRRC2C,0.32148410943282246,0.14009539023103235,-0.18138871920179012
10447_ZNF559_P1P2_ENSG00000188321,ZNF559,0.3212900105571892,0.2150251629361964,-0.1062648476209928
1289_CCDC6_P1P2_ENSG00000108091,CCDC6,0.3205825573518222,0.1165779418628004,-0.20400461548902177
9614_UQCRHL_P1P2_ENSG00000233954,UQCRHL,0.3191955337592379,0.1299391511002968,-0.1892563826589411
7895_SHKBP1_P1P2_ENSG00000160410,SHKBP1,0.3188796365450814,0.1533794474651745,-0.16550018907990688
6677_PPP1R9B_P1P2_ENSG00000108819,PPP1R9B,0.31761990125438205,0.1324282517988381,-0.18519164945554395
7686_SCAP_P1P2_ENSG00000114650,SCAP,0.31586203803228224,0.0758391545152258,-0.24002288351705645
3153_FOXD4L1_ENST00000306507.5_ENSG00000184492,FOXD4L1,0.31573026711532765,0.1374734869037605,-0.17825678021156716
5255_MRPS25_P1P2_ENSG00000131368,MRPS25,0.31503309962966514,0.12510766498828646,-0.18992543464137868
1562_CHD7_P1P2_ENSG00000171316,CHD7,0.314725581635424,0.11070933045973565,-0.20401625117568836
4533_LCMT1_P1P2_ENSG00000205629,LCMT1,0.3144111531811737,0.14087070462544804,-0.17354044855572565
4360_KIAA1143_P1P2_ENSG00000163807,KIAA1143,0.31413952257539324,0.13376892595556752,-0.18037059661982574
7126_RASSF1_P2_ENSG00000068028,RASSF1,0.3139775295529886,0.1580806605223377,-0.15589686903065086
10005_ZBTB4_P1_ENSG00000174282,ZBTB4,0.31289291557225496,0.12032424078001454,-0.1925686747922404
8182_SMIM8_P1P2_ENSG00000111850,SMIM8,0.31131500218308106,0.13378157382497635,-0.1775334283581047
6942_PTRH2_P1P2_ENSG00000141378,PTRH2,0.3105377923705623,0.05945131012955231,-0.25108648224101
10233_ZNF23_P1_ENSG00000167377,ZNF23,0.3100116882880472,0.11048293359741558,-0.1995287546906316
10264_ZNF282_P1P2_ENSG00000170265,ZNF282,0.30993071895115876,0.1485340486968237,-0.16139667025433505
9245_TRAPPC1_P1P2_ENSG00000170043,TRAPPC1,0.30941962222406993,0.15231070250061118,-0.15710891972345872
7748_SEC31A_P1_ENSG00000138674,SEC31A,0.3089793050815763,0.10733867326379337,-0.2016406318177829
3011_FBXO28_P1P2_ENSG00000143756,FBXO28,0.30849940354052996,0.14160681062471464,-0.16689259291581532
6183_PDK1_P1P2_ENSG00000152256,PDK1,0.30754215675038266,0.10824805507388051,-0.19929410167650216
9036_TMEM203_P1P2_ENSG00000187713,TMEM203,0.30667581035255176,0.14734641375987068,-0.1593293965926811
4004_IARS_P1P2_ENSG00000196305,IARS,0.3065338850989391,0.11333882250865228,-0.1931950625902868
9277_TRIM41_P1P2_ENSG00000146063,TRIM41,0.30582542010086694,0.15100291280432096,-0.15482250729654598
9846_WDR81_P1_ENSG00000167716,WDR81,0.3056090842862452,0.09334507055613508,-0.21226401373011017
7800_SERINC3_P1P2_ENSG00000132824,SERINC3,0.3054815586045243,0.06428153145461724,-0.24120002714990707
6120_PCGF1_P1P2_ENSG00000115289,PCGF1,0.3053822209203844,0.14997211144796363,-0.1554101094724208
963_C12orf43_P1P2_ENSG00000157895,C12orf43,0.30457844220836294,0.2031171938931132,-0.10146124831524972
8661_TAF1_P1P2_ENSG00000147133,TAF1,0.3045444033653655,0.1289424989913277,-0.17560190437403775
4144_INTS10_P1P2_ENSG00000104613,INTS10,0.30419057262394306,0.1804547414965355,-0.12373583112740756
6549_POLR2H_P1P2_ENSG00000163882,POLR2H,0.3041872662088263,0.1298594695230598,-0.17432779668576653
5540_NDUFA7_P1P2_ENSG00000267855,NDUFA7,0.30320604118192307,0.13154669530144117,-0.1716593458804819
10010_ZBTB7B_P1P2_ENSG00000160685,ZBTB7B,0.30299338054522845,0.17829954455022964,-0.12469383599499882
9269_TRIM26_P1P2_ENSG00000234127,TRIM26,0.3019327616960165,0.12827595627378258,-0.17365680542223394
8872_THAP11_P1P2_ENSG00000168286,THAP11,0.3018752169917709,0.18248725410960892,-0.11938796288216197
8981_TMEM101_P1P2_ENSG00000091947,TMEM101,0.301121414269642,0.14596147206022267,-0.15515994220941934
78_ACBD5_P1P2_ENSG00000107897,ACBD5,0.3007155572420067,0.14182055961762613,-0.15889499762438059
3564_GSX1_P1P2_ENSG00000169840,GSX1,0.3003397116508025,0.1958396098385442,-0.10450010181225829
1167_CAMLG_P1P2_ENSG00000164615,CAMLG,0.3002498397840718,0.10448910828725885,-0.19576073149681295
3517_GPS1_P1P2_ENSG00000169727,GPS1,0.29989928169769925,0.08326218906793827,-0.21663709262976097
5852_NUBP1_P1P2_ENSG00000103274,NUBP1,0.29962532049469837,0.11882420346879456,-0.18080111702590382
8515_STK17B_P1P2_ENSG00000081320,STK17B,0.2995695985818298,0.16086445657796813,-0.13870514200386166
1993_CYB5R2_P1P2_ENSG00000166394,CYB5R2,0.2994734030158933,0.11395983289634502,-0.18551357011954828
5799_NR4A2_P1_ENSG00000153234,NR4A2,0.2990012526831747,0.1146997332564269,-0.1843015194267478
